name,brand,model,sku,price,rating,rating_amount,_connection_,_type_,_battery_,_microphone_,_noise_,_water_,_UPC_
Boompods - Digibuds Wired Lightning Connector Headphones - Rose Graphite,Boompods,54214BCW,6432982,39.99,5,1,0,in,,0,isolate,,7.38517E+11
TCL - MTRO series MTRO100BTWT Wireless In-Ear Headphones - Ash White,TCL,MTRO100BTWTNA,6392336,49.99,,,1,in,18,1,isolate,,
Decibullz - Custom Moldable Wireless Earbud Headphones - Black,Decibullz,WL-BLK,5713545,119.99,5,1,1,in,,1,isolate,resist,
Boompods - Bassline True Wireless In-Ear Headphones - Black,Boompods,54201BCW,6432973,59.99,,,1,in,,0,isolate,,7.38517E+11
"Audio-Technica - Audio Technica ATH-CLR100ISLG SonicFuel Earbuds, Lime Green - Lime Green",Audio-Technica,AUD ATHCLR100ISLG,6424155,14.99,,,0,in,,1,isolate,,
Skullcandy - Sesh True Wireless In-Ear Headphones - Black,Skullcandy,S2TDW-M003,6373238,59.99,4,1602,1,in,,1,isolate,resist,
Sony - ZX Series Wired On-Ear Headphones - Black,Sony,MDRZX110/B,8618232,19.99,4.4,12023,0,on,,1,isolate,resist,
JBL - UA Sport Wireless Train Headphones - Project Rock Edition - BLACK,JBL,UAROCKOEBTBLKMAM,6264684,249.99,4.6,149,1,on,16,1,isolate,resist,
Apple - EarPods with Lightning Connector - White,Apple,MMTN2AM/A,5577816,19.99,4.7,8096,0,in,,1,isolate,resist,
eKids - JoJo Siwa Wired Over-the-Ear Headphones - White/Pink/Blue,eKids,JJ-140.FXV8,6259460,19.99,4.4,3788,0,,,0,isolate,,92298941769
Sennheiser - CX 350BT Wireless In-Ear Headphones - Black,Sennheiser,CX 350BT BLACK,6401451,69.99,4,4,1,in,10,1,cancel,,
Sony - XB50BS Extra Bass Sports Wireless In-Ear Headphones - Black,Sony,MDRXB50BS/B,5581239,79.99,4.3,3135,1,in,8.5,1,isolate,resist,
Skullcandy - Push In-Ear True Wireless Sport Headphones - Black,Skullcandy,S2BDW-N740,6412871,99.99,4,180,1,in,6,1,cancel,resist,
"Samson - SR Wired On-Ear Headphones - Silver, Black",Samson,SASR450,5424794,29.99,4,3,0,on,,0,isolate,,
